stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
4,Room,9,41,49,13085,16663,218.0657944,277.7155558,13012,16590,216.8491326,276.498894,3803.7681182,3863.4178796,228220,231798
4,Room,9,42,50,16664,17911,277.7155558,298.5154726,16591,17838,276.498894,297.2988108,3863.4178796,3884.2177964,231799,233046
4,Room,9,43,51,17912,29383,298.5154726,489.7147078,17839,29310,297.2988108,488.498046,3884.2177964,4075.4170316,233047,244518
4,Room,9,44,52,29384,30238,489.7147078,503.9646508,29311,30165,488.498046,502.747989,4075.4170316,4089.6669746,244519,245373
4,Room,9,45,53,30239,31990,503.9646508,533.164534,30166,31917,502.747989,531.9478722,4089.6669746,4118.8668578,245374,247125
4,Room,9,46,54,31991,35089,533.164534,584.8143274,31918,35016,531.9478722,583.5976656,4118.8668578,4170.5166512,247126,250224
4,Room,10,47,56,242,1548,4.0166506,25.7998968,169,1475,2.7999888,24.583235,4173.399973,4195.1832192,250397,251703
4,Room,10,48,57,1549,15031,25.7998968,250.5156646,1476,14958,24.583235,249.2990028,4195.1832192,4419.898987,251704,265186
4,Room,10,49,58,15032,18277,250.5156646,304.6154482,14959,18204,249.2990028,303.3987864,4419.898987,4473.9987706,265187,268432
4,Room,10,50,59,18278,26593,304.6154482,443.2148938,18205,26520,303.3987864,441.998232,4473.9987706,4612.5982162,268433,276748
4,Room,11,51,61,82,958,1.3499946,15.9666028,9,885,0.1333328,14.749941,4612.814882,4627.4314902,276761,277637
4,Room,11,52,62,959,2395,15.9666028,39.916507,886,2322,14.749941,38.6998452,4627.4314902,4651.3813944,277638,279074
4,Room,11,53,63,2396,7048,39.916507,117.4661968,2323,6975,38.6998452,116.249535,4651.3813944,4728.9310842,279075,283727
4,Room,11,54,64,7049,8293,117.4661968,138.2161138,6976,8220,116.249535,136.999452,4728.9310842,4749.6810012,283728,284972
4,Room,11,55,65,8294,9387,138.2161138,156.4493742,8221,9314,136.999452,155.2327124,4749.6810012,4767.9142616,284973,286066
4,Room,11,56,66,9388,10188,156.4493742,169.7993208,9315,10115,155.2327124,168.582659,4767.9142616,4781.2642082,286067,286867
4,Room,11,57,67,10189,12109,169.7993208,201.8158594,10116,12036,168.582659,200.5991976,4781.2642082,4813.2807468,286868,288788
4,Room,11,58,68,12110,17611,201.8158594,293.5154926,12037,17538,200.5991976,292.2988308,4813.2807468,4904.98038,288789,294290
4,Room,11,59,69,17612,22183,293.5154926,369.7151878,17539,22110,292.2988308,368.498526,4904.98038,4981.1800752,294291,298862
4,Room,11,60,70,22184,25311,369.7151878,421.8483126,22111,25238,368.498526,420.6316508,4981.1800752,5033.3132,298863,301990
4,Room,12,61,72,82,400,1.3499946,6.66664,9,327,0.1333328,5.4499782,5034.1965298,5039.5131752,302043,302361
4,Room,12,62,73,401,12313,6.66664,205.2158458,328,12240,5.4499782,203.999184,5039.5131752,5238.062381,302362,314274
4,Room,12,63,74,12314,13932,205.2158458,232.1990712,12241,13859,203.999184,230.9824094,5238.062381,5265.0456064,314275,315893
4,Room,12,64,75,13933,15882,232.1990712,264.6989412,13860,15809,230.9824094,263.4822794,5265.0456064,5297.5454764,315894,317843
4,Room,12,65,76,15883,16561,264.6989412,276.0155626,15810,16488,263.4822794,274.7989008,5297.5454764,5308.8620978,317844,318522
4,Room,12,66,77,16562,27565,276.0155626,459.414829,16489,27492,274.7989008,458.1981672,5308.8620978,5492.2613642,318523,329526
4,Room,13,67,79,83,1975,1.3666612,32.916535,10,1902,0.1499994,31.6998732,5492.4613634,5524.0112372,329538,331430
4,Room,13,68,80,1976,6693,32.916535,111.5495538,1903,6620,31.6998732,110.332892,5524.0112372,5602.644256,331431,336148
4,Room,13,69,81,6694,8905,111.5495538,148.416073,6621,8832,110.332892,147.1994112,5602.644256,5639.5107752,336149,338360
4,Room,13,70,82,8906,10882,148.416073,181.3659412,8833,10809,147.1994112,180.1492794,5639.5107752,5672.4606434,338361,340337
4,Room,13,71,83,10883,14077,181.3659412,234.6157282,10810,14004,180.1492794,233.3990664,5672.4606434,5725.7104304,340338,343532
4,Room,13,72,84,14078,15106,234.6157282,251.7656596,14005,15033,233.3990664,250.5489978,5725.7104304,5742.8603618,343533,344561
4,Room,13,73,85,15107,18742,251.7656596,312.3654172,15034,18669,250.5489978,311.1487554,5742.8603618,5803.4601194,344562,348197
4,Room,13,74,86,18743,19831,312.3654172,330.5153446,18670,19758,311.1487554,329.2986828,5803.4601194,5821.6100468,348198,349286
4,Room,14,75,88,80,3054,1.3166614,50.8997964,7,2981,0.0999996,49.6831346,5824.7100344,5874.2931694,349472,352446
4,Room,14,76,89,3055,7618,50.8997964,126.9661588,2982,7545,49.6831346,125.749497,5874.2931694,5950.3595318,352447,357010
