stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
2,The Peanut Butter Falcon,6,35,40,6008,6919,100.1162662,115.3162054,5935,6846,98.8996044,114.0995436,2658.6393654,2673.8393046,159515,160426
2,The Peanut Butter Falcon,6,36,41,6920,8296,115.3162054,138.2661136,6847,8223,114.0995436,137.0494518,2673.8393046,2696.7892128,160427,161803
2,The Peanut Butter Falcon,6,37,42,8297,9208,138.2661136,153.4660528,8224,9135,137.0494518,152.249391,2696.7892128,2711.989152,161804,162715
2,The Peanut Butter Falcon,6,38,43,9209,13498,153.4660528,224.9657668,9136,13425,152.249391,223.749105,2711.989152,2783.488866,162716,167005
2,The Peanut Butter Falcon,6,39,44,13499,21637,224.9657668,360.6152242,13426,21564,223.749105,359.3985624,2783.488866,2919.1383234,167006,175144
2,The Peanut Butter Falcon,6,40,45,21638,26425,360.6152242,440.414905,21565,26352,359.3985624,439.1982432,2919.1383234,2998.9380042,175145,179932
2,The Peanut Butter Falcon,6,41,46,26426,28606,440.414905,476.7647596,26353,28533,439.1982432,475.5480978,2998.9380042,3035.2878588,179933,182113
2,The Peanut Butter Falcon,7,42,48,83,3151,1.3666612,52.5164566,10,3078,0.1499994,51.2997948,3037.5878496,3088.737645,182251,185319
2,The Peanut Butter Falcon,7,43,49,3152,13852,52.5164566,230.8657432,3079,13779,51.2997948,229.6490814,3088.737645,3267.0869316,185320,196020
2,The Peanut Butter Falcon,7,44,50,13853,26916,230.8657432,448.5982056,13780,26843,229.6490814,447.3815438,3267.0869316,3484.819394,196021,209084
2,The Peanut Butter Falcon,8,45,52,86,10483,1.416661,174.7159678,13,10410,0.1999992,173.499306,3485.2193924,3658.5186992,209108,219505
